"age" "fpop17" "mpop17" "mf" "mm" "fpop20" "mpop20"
"1" 0 370672 390263 0.003542 0.004276 341070 359339
"2" 1 383081 403861 0.000213 0.000243 354135 374536
"3" 2 383937 404396 0.000127 0.000132 369105 388639
"4" 3 388289 408415 9.8e-05 0.000101 380648 401012
"5" 4 397911 418158 6.8e-05 9.7e-05 392079 413748
"6" 5 411078 430982 8.6e-05 8.5e-05 391975 413059
"7" 6 405235 424699 8.2e-05 8.8e-05 395418 415931
"8" 7 397433 416119 6.2e-05 6.9e-05 404083 424856
"9" 8 392983 411907 6.4e-05 6.7e-05 416111 437076
"10" 9 395468 415331 5.3e-05 5.9e-05 409583 430527
"11" 10 381640 402406 6.4e-05 7.4e-05 402414 421915
"12" 11 374669 393167 6.6e-05 8.5e-05 397503 418051
"13" 12 360383 378249 6e-05 0.000105 400546 421440
"14" 13 354175 371745 8e-05 0.000127 386724 408287
"15" 14 343886 361982 0.000101 0.000121 380231 399427
"16" 15 338865 356847 0.000112 0.000174 365831 385285
"17" 16 349192 366480 0.000147 0.000227 359601 379522
"18" 17 357378 378974 0.000159 0.000316 350249 371146
"19" 18 371359 392212 0.000227 4e-04 346911 368820
"20" 19 380455 401476 2e-04 0.000448 364025 384480
"21" 20 396374 417803 0.00019 0.000508 375342 401937
"22" 21 396792 424279 0.000211 0.000513 391175 417410
"23" 22 402909 425656 0.000229 0.000505 399565 425942
"24" 23 419870 442051 0.000222 0.000505 415119 439667
"25" 24 426745 442266 0.000222 0.000552 415683 442556
"26" 25 445711 454064 0.000254 0.000598 417286 439631
"27" 26 452177 468281 0.000262 0.000581 430310 452304
"28" 27 444545 460482 0.000292 0.000621 434291 450959
"29" 28 445550 451518 0.000314 0.000695 452089 460576
"30" 29 452865 453312 0.00032 0.000732 457190 472503
"31" 30 445619 438118 0.00037 0.000771 448843 463404
"32" 31 444418 445924 0.000394 0.000835 449727 454273
"33" 32 444955 445631 0.000453 0.000835 456995 454759
"34" 33 436631 432792 0.000486 0.000929 449705 439421
"35" 34 440821 434246 0.000556 0.000957 448406 446855
"36" 35 441608 432437 0.000582 0.001074 448281 444247
"37" 36 444048 437291 0.000645 0.001147 439600 431016
"38" 37 443725 436963 0.000784 0.00131 443296 433047
"39" 38 424412 420733 0.000732 0.001262 443447 431115
"40" 39 395840 392432 0.000853 0.0014 445225 435489
"41" 40 389191 386604 0.000903 0.00153 444644 435837
"42" 41 398555 391622 0.000986 0.001671 425022 420158
"43" 42 406415 399104 0.001073 0.001819 396603 392289
"44" 43 413947 405658 0.001172 0.002004 389899 386737
"45" 44 431553 424667 0.001317 0.002095 398937 392742
"46" 45 450559 442574 0.001426 0.00235 406560 399504
"47" 46 468300 453705 0.001566 0.002491 414276 405603
"48" 47 456783 443731 0.001696 0.0027 432107 423330
"49" 48 468641 454037 0.001842 0.002856 450957 441306
"50" 49 468692 454327 0.001945 0.003194 469053 452145
"51" 50 473007 462378 0.002171 0.003385 457742 442027
"52" 51 475114 459087 0.00236 0.003612 469036 452661
"53" 52 478503 462774 0.00256 0.003914 468530 452870
"54" 53 473403 458320 0.002701 0.004133 472122 460610
"55" 54 462565 449106 0.002918 0.004488 473718 456916
"56" 55 450921 440055 0.003199 0.004772 476684 460064
"57" 56 435564 424873 0.003548 0.005404 471306 454890
"58" 57 418183 407159 0.003823 0.005874 460146 444574
"59" 58 409413 397336 0.004239 0.006415 448358 434333
"60" 59 400119 388269 0.004627 0.006954 432875 418057
"61" 60 385581 373194 0.005067 0.007624 415076 399402
"62" 61 371524 359186 0.005507 0.008348 405453 389391
"63" 62 358603 344310 0.006284 0.009266 395792 380330
"64" 63 359639 343177 0.006737 0.01023 380697 364960
"65" 64 354412 338356 0.007291 0.011007 366103 350439
"66" 65 344895 325962 0.00802 0.012097 352704 335033
"67" 66 346856 326938 0.008609 0.013419 353263 332613
"68" 67 353905 330975 0.009424 0.014542 346838 326495
"69" 68 360717 338992 0.010383 0.015864 336720 313586
"70" 69 379712 354334 0.01136 0.01744 337767 313247
"71" 70 408934 381918 0.012515 0.018456 343596 315820
"72" 71 316170 291980 0.013427 0.020484 349185 322031
"73" 72 305861 279706 0.015358 0.022578 365974 334951
"74" 73 303633 276653 0.017499 0.025829 392694 358719
"75" 74 283900 253072 0.019352 0.028525 301868 271936
"76" 75 254172 222497 0.02167 0.031903 290384 258389
"77" 76 229221 196567 0.024514 0.035742 286159 253172
"78" 77 234858 200519 0.027686 0.039607 265061 228815
"79" 78 231145 194439 0.031448 0.044489 235283 198845
"80" 79 222344 184713 0.035086 0.049284 209651 172905
"81" 80 210257 169897 0.039217 0.055479 212288 173782
"82" 81 198211 156019 0.044607 0.061932 206520 165976
"83" 82 185239 142808 0.050187 0.0688 195801 154399
"84" 83 169616 126225 0.057897 0.07835 182315 139104
"85" 84 158285 113709 0.066047 0.088506 168066 124312
"86" 85 150089 103598 0.075186 0.099367 153729 110706
"87" 86 138922 91647 0.086696 0.112884 136939 94391
"88" 87 125727 78088 0.098044 0.12606 123765 82225
"89" 88 109413 65131 0.112417 0.142887 113380 71416
"90" 89 93997 53208 0.126463 0.161989 100705 60383
"91" 90 79725 39312 0.143042 0.173081 81973 43481
"92" 91 69082 33049 0.162443 0.196122 71030 36555
"93" 92 58703 27147 0.182044 0.217596 60359 30026
"94" 93 48908 21819 0.203286 0.240992 50287 24133
